frame,x,y
0.0,65.0,108.0
1.0,62.0,88.0
2.0,58.0,70.0
3.0,55.0,54.0
4.0,53.0,41.0
5.0,50.0,31.0
6.0,48.0,24.0
7.0,48.0,21.0
8.0,46.0,21.0
9.0,44.0,25.0
10.0,44.0,33.0
11.0,45.0,44.0
12.0,46.0,58.0
13.0,47.0,76.0
14.0,49.0,96.0
15.0,52.0,119.0
16.0,56.0,136.0
17.0,58.0,163.0
18.0,61.0,190.0
19.0,63.0,217.0
20.0,65.0,245.0
21.0,67.0,273.0
22.0,69.0,301.0
23.0,70.0,326.0
24.0,71.0,351.0
25.0,72.0,374.0
26.0,72.0,394.0
27.0,73.0,412.0
28.0,73.0,434.0
29.0,72.0,445.0
30.0,73.0,453.0
31.0,73.0,458.0
32.0,73.0,460.0
33.0,74.0,458.0
34.0,75.0,454.0
35.0,76.0,446.0
36.0,77.0,436.0
37.0,77.0,423.0
38.0,78.0,406.0
39.0,81.0,380.0
40.0,81.0,366.0
41.0,85.0,336.0
42.0,84.0,311.0
43.0,84.0,286.0
44.0,84.0,260.0
45.0,83.0,233.0
46.0,81.0,206.0
47.0,80.0,181.0
48.0,77.0,163.0
49.0,73.0,138.0
50.0,70.0,115.0
51.0,67.0,94.0
52.0,64.0,75.0
53.0,61.0,59.0
54.0,58.0,44.0
55.0,55.0,33.0
56.0,52.0,23.0
57.0,51.0,18.0
58.0,50.0,16.0
59.0,48.0,18.0
60.0,48.0,24.0
61.0,50.0,34.0
62.0,51.0,46.0
63.0,53.0,62.0
64.0,56.0,81.0
65.0,58.0,101.0
66.0,61.0,124.0
67.0,66.0,142.0
68.0,68.0,168.0
69.0,70.0,196.0
70.0,73.0,224.0
71.0,74.0,252.0
72.0,75.0,279.0
73.0,76.0,306.0
74.0,76.0,332.0
75.0,76.0,356.0
76.0,76.0,377.0
77.0,74.0,404.0
78.0,74.0,420.0
79.0,75.0,433.0
80.0,74.0,443.0
81.0,75.0,449.0
82.0,76.0,453.0
83.0,76.0,454.0
84.0,76.0,452.0
85.0,77.0,446.0
86.0,79.0,437.0
87.0,80.0,426.0
88.0,81.0,411.0
89.0,82.0,394.0
90.0,84.0,368.0
91.0,85.0,346.0
92.0,85.0,323.0
93.0,84.0,298.0
94.0,84.0,273.0
95.0,83.0,247.0
96.0,80.0,229.0
97.0,79.0,195.0
98.0,75.0,177.0
99.0,72.0,153.0
100.0,69.0,130.0
101.0,66.0,108.0
102.0,62.0,88.0
103.0,59.0,69.0
104.0,56.0,54.0
105.0,53.0,41.0
106.0,50.0,31.0
107.0,48.0,23.0
108.0,48.0,20.0
109.0,48.0,21.0
110.0,48.0,24.0
111.0,50.0,33.0
112.0,52.0,43.0
113.0,53.0,56.0
114.0,56.0,73.0
115.0,59.0,93.0
116.0,62.0,106.0
117.0,65.0,131.0
118.0,67.0,156.0
119.0,69.0,182.0
120.0,72.0,210.0
121.0,73.0,237.0
122.0,73.0,265.0
123.0,75.0,292.0
124.0,75.0,318.0
125.0,74.0,343.0
126.0,74.0,366.0
127.0,74.0,394.0
128.0,74.0,412.0
129.0,75.0,427.0
130.0,77.0,437.0
131.0,77.0,445.0
132.0,78.0,451.0
133.0,80.0,453.0
134.0,81.0,452.0
135.0,83.0,448.0
136.0,84.0,441.0
137.0,85.0,432.0
138.0,86.0,419.0
139.0,86.0,404.0
140.0,89.0,379.0
141.0,90.0,358.0
142.0,89.0,336.0
143.0,88.0,313.0
144.0,87.0,288.0
145.0,85.0,263.0
146.0,84.0,237.0
147.0,82.0,211.0
148.0,78.0,193.0
149.0,75.0,168.0
150.0,72.0,145.0
151.0,69.0,122.0
152.0,66.0,100.0
153.0,63.0,81.0
154.0,61.0,64.0
155.0,59.0,50.0
156.0,57.0,38.0
157.0,55.0,29.0
158.0,54.0,23.0
159.0,55.0,21.0
160.0,53.0,23.0
161.0,54.0,29.0
162.0,55.0,37.0
163.0,55.0,49.0
164.0,56.0,64.0
165.0,59.0,82.0
166.0,61.0,102.0
167.0,64.0,118.0
168.0,66.0,142.0
169.0,67.0,168.0
170.0,68.0,194.0
171.0,70.0,221.0
172.0,72.0,248.0
173.0,74.0,275.0
174.0,75.0,302.0
175.0,75.0,327.0
176.0,77.0,351.0
177.0,79.0,372.0
178.0,80.0,392.0
179.0,80.0,415.0
180.0,82.0,428.0
181.0,83.0,438.0
182.0,84.0,444.0
183.0,85.0,448.0
184.0,85.0,449.0
185.0,86.0,447.0
186.0,88.0,442.0
187.0,89.0,434.0
188.0,90.0,423.0
189.0,89.0,410.0
190.0,89.0,394.0
191.0,89.0,375.0
192.0,89.0,354.0
193.0,90.0,324.0
194.0,89.0,300.0
195.0,88.0,276.0
196.0,86.0,251.0
197.0,84.0,225.0
198.0,82.0,200.0
199.0,80.0,175.0
200.0,76.0,158.0
201.0,76.0,128.0
202.0,72.0,113.0
203.0,70.0,94.0
204.0,67.0,76.0
205.0,65.0,60.0
206.0,63.0,48.0
207.0,61.0,37.0
208.0,61.0,30.0
209.0,59.0,26.0
210.0,56.0,26.0
211.0,56.0,29.0
212.0,57.0,36.0
213.0,57.0,46.0
214.0,58.0,60.0
215.0,59.0,75.0
216.0,60.0,94.0
217.0,62.0,115.0
218.0,64.0,138.0
219.0,68.0,155.0
220.0,70.0,181.0
221.0,72.0,207.0
222.0,75.0,234.0
223.0,77.0,260.0
224.0,78.0,286.0
225.0,80.0,312.0
226.0,82.0,336.0
227.0,83.0,358.0
228.0,82.0,386.0
229.0,83.0,403.0
230.0,86.0,418.0
231.0,86.0,430.0
232.0,87.0,438.0
233.0,87.0,443.0
234.0,88.0,446.0
235.0,87.0,445.0
236.0,88.0,442.0
237.0,89.0,436.0
238.0,89.0,427.0
239.0,87.0,415.0
240.0,87.0,400.0
241.0,87.0,383.0
242.0,90.0,356.0
243.0,88.0,342.0
244.0,90.0,312.0
245.0,90.0,288.0
246.0,89.0,263.0
247.0,88.0,238.0
248.0,87.0,212.0
249.0,84.0,195.0
250.0,84.0,163.0
251.0,80.0,147.0
252.0,78.0,125.0
253.0,75.0,104.0
254.0,72.0,85.0
255.0,70.0,69.0
